iter	Passed	Remaining
143	979	5825
144	988	5827
145	994	5817
146	1001	5808
147	1007	5798
148	1013	5790
149	1020	5782
150	1027	5775
151	1034	5768
152	1040	5759
153	1047	5756
154	1054	5751
155	1061	5744
156	1068	5734
157	1074	5724
158	1080	5715
159	1086	5706
160	1093	5697
161	1099	5688
162	1105	5678
163	1112	5668
164	1117	5657
165	1124	5651
166	1131	5642
167	1137	5634
168	1143	5622
169	1149	5612
170	1156	5607
171	1163	5601
172	1170	5594
173	1176	5584
174	1183	5579
175	1191	5577
176	1197	5567
177	1203	5558
178	1211	5555
179	1217	5544
180	1224	5541
181	1231	5533
182	1237	5525
183	1243	5515
184	1250	5508
185	1256	5500
186	1263	5493
187	1269	5484
188	1276	5476
189	1282	5468
190	1288	5457
191	1296	5457
192	1303	5449
193	1310	5443
194	1316	5435
195	1323	5427
196	1330	5422
197	1335	5411
198	1343	5406
199	1349	5398
200	1355	5389
201	1361	5380
202	1368	5371
203	1374	5363
204	1380	5353
205	1387	5346
206	1393	5338
207	1399	5329
208	1407	5326
209	1414	5319
210	1423	5322
211	1429	5314
212	1435	5304
213	1442	5297
214	1449	5290
215	1455	5282
216	1462	5276
217	1469	5269
218	1476	5264
219	1483	5259
220	1490	5252
221	1497	5246
222	1503	5239
223	1510	5233
224	1517	5226
225	1523	5219
226	1531	5214
227	1537	5205
228	1544	5200
229	1551	5192
230	1559	5190
231	1567	5187
232	1575	5185
233	1583	5182
234	1590	5176
235	1597	5170
236	1604	5164
237	1611	5158
238	1618	5152
239	1625	5146
240	1632	5141
241	1638	5132
242	1646	5128
243	1653	5122
244	1660	5115
245	1666	5108
246	1676	5111
247	1691	5128
248	1700	5129
249	1707	5123
250	1715	5119
251	1722	5113
252	1730	5109
253	1737	5104
254	1746	5103
255	1755	5101
256	1762	5096
257	1770	5092
258	1778	5088
259	1785	5082
260	1794	5079
261	1800	5072
262	1813	5081
263	1822	5079
264	1829	5075
265	1837	5070
266	1846	5069
267	1854	5066
268	1863	5063
269	1871	5059
270	1879	5056
271	1887	5052
272	1895	5047
273	1901	5038
274	1908	5032
275	1915	5024
276	1923	5020
277	1929	5011
278	1936	5004
279	1944	4999
280	1951	4993
281	1959	4987
282	1966	4982
283	1974	4978
284	1981	4971
285	1988	4964
286	1995	4956
287	2002	4951
288	2009	4942
289	2015	4935
290	2022	4927
291	2029	4920
292	2036	4913
293	2044	4909
294	2053	4907
295	2060	4900
296	2068	4896
297	2075	4890
298	2084	4886
299	2091	4880
300	2099	4875
301	2107	4870
302	2115	4867
303	2124	4864
304	2132	4860
305	2142	4860
306	2150	4855
307	2159	4852
308	2167	4847
309	2176	4843
310	2184	4839
311	2192	4834
312	2201	4833
313	2211	4830
314	2219	4827
315	2232	4832
316	2240	4827
317	2250	4827
318	2259	4822
319	2266	4816
320	2273	4810
321	2280	4802
322	2288	4796
323	2295	4789
324	2303	4784
325	2310	4777
326	2317	4769
327	2325	4763
328	2331	4754
329	2337	4745
330	2344	4739
331	2351	4731
332	2358	4724
333	2366	4718
334	2374	4713
335	2381	4706
336	2389	4700
337	2397	4696
338	2406	4693
339	2414	4686
340	2422	4681
341	2429	4674
342	2437	4668
343	2444	4662
344	2452	4655
345	2459	4649
346	2466	4641
347	2472	4632
348	2479	4624
349	2486	4617
350	2493	4609
351	2498	4600
352	2504	4590
353	2511	4582
354	2517	4573
355	2523	4565
356	2529	4556
357	2535	4546
358	2541	4537
359	2548	4529
360	2554	4521
361	2560	4513
362	2566	4504
363	2573	4496
364	2579	4487
365	2585	4478
366	2593	4472
367	2600	4465
368	2606	4457
369	2614	4451
370	2620	4443
371	2627	4435
372	2634	4428
373	2640	4418
374	2645	4409
375	2651	4401
376	2657	4391
377	2664	4384
378	2670	4375
379	2676	4366
380	2682	4357
381	2688	4349
382	2695	4342
383	2701	4333
384	2707	4325
385	2714	4317
386	2720	4309
387	2728	4303
388	2734	4295
389	2742	4289
390	2750	4283
391	2756	4276
392	2763	4267
393	2770	4260
394	2777	4253
395	2785	4247
396	2792	4240
397	2798	4232
398	2805	4225
399	2811	4217
400	2818	4210
401	2824	4201
402	2831	4193
403	2837	4186
404	2844	4178
405	2850	4170
406	2857	4163
407	2864	4155
408	2870	4148
409	2877	4140
410	2883	4132
411	2889	4124
412	2896	4116
413	2902	4108
414	2908	4100
415	2915	4092
